station name,station latitude,station longitude,use_count
Dwight St & Van Dyke St,40.67363551341274,-74.01195555925368,5053
E 10 St & 5 Ave,40.73331966997354,-73.9951013200615,51489
E 10 St & Avenue A,40.72740794002002,-73.98142005995399,126899
E 102 St & 1 Ave,40.78699459998686,-73.94164801995574,33400
E 102 St & Park Ave,40.790482799991544,-73.95033068000326,13306
E 103 St & Lexington Ave,40.790305100000964,-73.9475575699696,18096
E 106 St & 1 Ave,40.78925289999565,-73.93956236999561,9097
E 106 St & Lexington Ave,40.79197600000457,-73.9459929999798,11198
E 106 St & Madison Ave,40.793433699993095,-73.94945002999333,11133
E 109 St & 3 Ave,40.79329668001299,-73.94320830001418,11673
E 11 St & 1 Ave,40.729538369950056,-73.98426725995242,91181
E 11 St & 2 Ave,40.73047308996884,-73.98672377989945,105934
E 11 St & Avenue B,40.727464206924175,-73.97950418293476,2049
E 11 St & Broadway,40.73261786997706,-73.9915804299608,47681
E 110 St & Madison Ave,40.79615349998489,-73.94782144997005,24280
E 114 St & 1 Ave,40.79456629999916,-73.93625409999422,8014
E 115 St & Lexington Ave,40.79791099999023,-73.94229999999565,10433
E 115 St & Madison Ave,40.79894450000144,-73.94484600000547,8046
E 116 St & 2 Ave,40.796878999995364,-73.9372610000012,8064
E 118 St & 1 Ave,40.797469999993986,-73.93504000000891,10524
E 118 St & 3 Ave,40.799139000005894,-73.9389151999899,9713
E 118 St & Madison Ave,40.80148659999957,-73.9442506999944,8686
E 118 St & Park Ave,40.8005385000024,-73.94199490000027,3950
E 12 St & 3 Ave,40.73223272000938,-73.98889956996145,111347
E 12 St & Avenue B,40.728048571382935,-73.97881150245668,70394
E 123 St & Lexington Ave,40.802926299994844,-73.9379000000107,9918
E 128 St & Madison Ave,40.80755999999177,-73.93918200000175,8853
E 13 St & Avenue A,40.729577716688915,-73.98059521562146,102806
E 15 St & 3 Ave,40.73423200005238,-73.98692299989453,104382
E 16 St & 5 Ave,40.73726186004317,-73.99238966986404,111461
E 16 St & Irving Pl,40.73536705555503,-73.98797392845155,73297
E 17 St & Broadway,40.73704984017622,-73.99009295972283,212416
E 19 St & 3 Ave,40.73624526992931,-73.98473764993034,71006
E 2 St & 2 Ave,40.725028759917286,-73.9906965598803,97322
E 2 St & Avenue A,40.72307749061797,-73.98583620786667,75893
E 2 St & Avenue B,40.722174440035985,-73.98368779008983,78790
E 2 St & Avenue C,40.72087360003782,-73.98085795007128,54498
E 20 St & 2 Ave,40.735876780003274,-73.98205026989667,96918
E 20 St & FDR Drive,40.733142590058584,-73.9757388101371,104325
E 20 St & Park Ave,40.73827427998356,-73.98751967989976,84177
E 23 St & 1 Ave,40.73650200004476,-73.9780947200896,105135
E 24 St & Park Ave S,40.74096373998938,-73.986022129822,128320
E 25 St & 1 Ave,40.73817649996743,-73.9773866199181,72612
E 25 St & 2 Ave,40.739126009954745,-73.97973775981959,103602
E 27 St & 1 Ave,40.73944499996574,-73.97680599994686,69233
E 3 St & 1 Ave,40.72467721,-73.98783413,2
E 30 St & Park Ave S,40.74444920992536,-73.98303528995008,78986
E 31 St & 3 Ave,40.743943139943475,-73.97966068989325,85771
E 32 St & Park Ave,40.745712099988076,-73.9819482900195,116761
E 33 St & 1 Ave,40.74322681434379,-73.97449783980845,58237
E 33 St & 2 Ave,40.744022999958275,-73.9760560000689,43806
