station name,station latitude,station longitude,use_count
Broadway & W 51 St,40.7622882599677,-73.98336183000353,71208
Broadway & W 53 St,40.76344058006578,-73.98268128996843,71286
Broadway & W 56 St,40.765265400048236,-73.98192337994793,98756
Broadway & W 58 St,40.766953169987794,-73.98169333009739,122582
Broadway & W 60 St,40.769155049931484,-73.98191840996127,162698
Broadway & Whipple St,40.70166569999578,-73.94373029997881,15341
Brooklyn Bridge Park - Pier 2,40.6987799999851,-73.99711999997416,21708
Bus Slip & State St,40.70190700002682,-74.0139419999909,50216
Bushwick Ave & Powers St,40.71247660998143,-73.94100004998946,22593
Butler St & Court St,40.6849893999851,-73.99440329000953,17983
Cadman Plaza E & Red Cross Pl,40.69991754997815,-73.98971772996353,46692
Cadman Plaza E & Tillary St,40.695976829981866,-73.99014892004108,26596
Cadman Plaza West & Montague St,40.69383000000356,-73.99053899994689,36475
Cambridge Pl & Gates Ave,40.68487999999743,-73.96303999997845,15089
Canal St & Rutgers St,40.71427487011127,-73.9899002499881,99536
Carlton Ave & Dean St,40.68097410001001,-73.97100970000788,18158
Carlton Ave & Flushing Ave,40.6977869999886,-73.97373600001342,24598
Carlton Ave & Park Ave,40.69580704999158,-73.97355569001104,15389
Carmine St & 6 Ave,40.730385989937865,-74.00214987994022,161106
Carroll St & 5 Ave,40.67516220000105,-73.98148320003696,25201
Carroll St & 6 Ave,40.67408859998265,-73.97872820002138,24037
Carroll St & Bond St,40.67861149998909,-73.99037291996264,21183
Carroll St & Columbia St,40.68304559998831,-74.0034855899879,20613
Carroll St & Franklin Ave,40.66794109999638,-73.95879999999545,3621
Carroll St & Smith St,40.68061099999103,-73.99475825002695,38002
Carroll St & Washington Ave,40.668674399996775,-73.96181479999089,5628
Cathedral Pkwy & Broadway,40.80421299999609,-73.96699103996677,31023
Catherine St & Monroe St,40.71117444003951,-73.99682619002884,45442
Center Blvd & 48 Ave,40.74503800000663,-73.95753900000084,16311
Center Blvd & Borden Ave,40.74161000000988,-73.96044000001704,11180
Central Park North & Adam Clayton Powell Blvd,40.799484000039854,-73.95561300000166,66765
Central Park S & 6 Ave,40.76590935986675,-73.976341510151,154548
Central Park W & W 96 St,40.79126999996607,-73.96483899993079,61410
Central Park West & W 100 St,40.794066608184956,-73.96286845207214,38372
Central Park West & W 102 St,40.795345999999,-73.96185999998448,21484
Central Park West & W 68 St,40.773406600079205,-73.97782541997843,86075
Central Park West & W 72 St,40.775793766949654,-73.97620573639871,100725
Central Park West & W 76 St,40.778967839980126,-73.97374736992191,60305
Central Park West & W 85 St,40.78472675006795,-73.96961714987552,78434
Centre St & Chambers St,40.712732659934915,-74.00460729996111,138171
Centre St & Worth St,40.71494807000267,-74.00234482005622,49031
Cherry St,40.712199060012196,-73.97948148004622,35118
Christopher St & Greenwich St,40.73291552998223,-74.00711384026204,154346
City Hall,40.717732500000004,-74.04384499999998,6
Clark St & Henry St,40.69760126998278,-73.99344559002363,43952
Classon Ave & St Marks Ave,40.6765197999863,-73.95960820000587,20090
Clermont Ave & Lafayette Ave,40.68764483999368,-73.96968901997876,16776
Clermont Ave & Park Ave,40.695733979997826,-73.97129668001867,13525
Cleveland Pl & Spring St,40.72210378665873,-73.99724900722505,142523
Cliff St & Fulton St,40.70831794364705,-74.0050408244133,22803
Cliff St & Fulton St_1,40.708235020026954,-74.005300629939,29992
Clinton Ave & Flushing Ave,40.6979399999907,-73.96986847999533,20035
Clinton Ave & Myrtle Ave,40.69326100003029,-73.96889600003976,44050
Clinton St & 4 Place,40.67835629999348,-74.00014501997957,20311
Clinton St & Centre St,40.674339999998175,-74.00194698000264,5387
Clinton St & Grand St,40.71559508998194,-73.98702949997711,64264
Clinton St & Joralemon St,40.69239502002993,-73.99337908998315,44971
Clinton St & Tillary St,40.696191999975696,-73.99121799996679,26320
Clinton St & Union St,40.68311640000518,-73.99785267002386,20854
Coffey St & Conover St,40.67723600000464,-74.01566499999062,10965
Columbia Heights & Cranberry St,40.7003786700052,-73.99548059001008,12994
Columbia St & Degraw St,40.68592960000817,-74.00242364003698,23035
Columbia St & Kane St,40.687631550009954,-74.00162560002182,20215
Columbia St & Lorraine St,40.67470550000116,-74.00755720000359,2553
Columbia St & Rivington St,40.71739973003591,-73.98016555001742,38231
Columbia St & W 9 St,40.67699930000016,-74.00647133999954,3953
Columbus Ave & W 103 St,40.796934699993514,-73.96434122909524,9553
Columbus Ave & W 72 St,40.77705750006227,-73.97898474992581,99687
Columbus Ave & W 95 St,40.79195569997758,-73.96808699996579,42366
Columbus Drive,40.71835519823214,-74.03891444206238,4
Commerce St & Van Brunt St,40.68121170000159,-74.00860911999771,8342
Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,2
Concord St & Bridge St,40.697665639996366,-73.98476437000859,14862
Congress St & Clinton St,40.68815289998487,-73.99520919002141,29748
Cooper Square & Astor Pl,40.72951496214062,-73.99075269699097,143962
Court St & Nelson St,40.67639470000206,-73.99869893001691,15370
Court St & State St,40.69023750000611,-73.99203073991112,51392
Crescent St & 30 Ave,40.768692000008144,-73.92495739999181,10528
Crescent St & 34 Ave,40.761080000003766,-73.93056200001165,8406
Crescent St & 35 Ave,40.759627599997195,-73.93214549998943,6418
Crescent St & Broadway,40.763358899986315,-73.92864709999454,15295
Crescent St & Ditmars Blvd,40.778718499995065,-73.91456449999055,8438
Crown St & Bedford Ave,40.666563000003336,-73.95674100000168,3992
Cumberland St & Lafayette Ave,40.68753405998653,-73.97265182995896,25933
DeKalb Ave & Hudson Ave,40.68988800001996,-73.98101300001106,66285
DeKalb Ave & S Portland Ave,40.689810349985784,-73.97493121003211,26748
DeKalb Ave & Skillman St,40.69064950000028,-73.95643107001382,17126
DeKalb Ave & Vanderbilt Ave,40.689407470016185,-73.96885458002878,28738
Dean St & 4 Ave,40.68312489003478,-73.97895136998072,48205
Dean St & Franklin Ave,40.67759206937608,-73.95563721656801,13550
Dean St & Hoyt St,40.68644419999387,-73.98759104000898,19610
Degraw St & Hoyt St,40.68199044269312,-73.99079024791719,15393
Degraw St & Smith St,40.682915100010874,-73.99318208003022,22724
Devoe St & Lorimer St,40.71335226224193,-73.9491033554077,21148
Ditmars Blvd & 19 St,40.781450000006465,-73.9183302000101,12295
Division Av & Hooper St,40.70684203101285,-73.95443539653378,937
Division Ave & Hooper St,40.706912539994036,-73.95441667000823,6268
Division Ave & Marcy Ave,40.7070870099997,-73.95796783000596,6445
Division St & Bowery,40.71413089004799,-73.99704680001113,66941
Dixon Mills,40.72163014263835,-74.04996782541275,2
Douglass St & 3 Ave,40.68021330002093,-73.98432695002765,28624
Douglass St & 4 Ave,40.679278800006855,-73.98154004004206,23228
Driggs Ave & Lorimer St,40.721791340008714,-73.95041540001337,20291
Driggs Ave & N 9 St,40.71816969454211,-73.95520135760306,4184
Driggs Ave & N Henry St,40.72325000001711,-73.94308000005321,27269
Duane St & Greenwich St,40.71748752001827,-74.01045540006297,42239
Duffield St & Willoughby St,40.69221588999686,-73.98428440000802,33361
Dwight St & Van Dyke St,40.67363551341136,-74.01195555925368,6203
E 10 St & 5 Ave,40.733319669973405,-73.99510132006185,52095
E 10 St & Avenue A,40.727407939989995,-73.98142006002341,141674
E 102 St & 1 Ave,40.78699459998667,-73.9416480199556,33791
E 102 St & Park Ave,40.790482799991516,-73.95033068000326,13444
E 103 St & Lexington Ave,40.79030510000161,-73.94755756996915,18479
E 106 St & 1 Ave,40.78925289999561,-73.93956236999398,9458
E 106 St & Lexington Ave,40.79197600000465,-73.94599299997881,11505
E 106 St & Madison Ave,40.79343369999305,-73.94945002999332,11281
E 109 St & 3 Ave,40.79329668001325,-73.94320830001463,11863
E 11 St & 1 Ave,40.72953836994985,-73.98426725995239,91902
E 11 St & 2 Ave,40.730473089968804,-73.98672377989803,106700
E 11 St & Avenue B,40.727464206924175,-73.97950418293476,1915
E 11 St & Broadway,40.73261786997706,-73.9915804299608,47678
E 110 St & Madison Ave,40.79615349998483,-73.94782144996992,24467
E 114 St & 1 Ave,40.79456629999916,-73.93625409999353,8121
E 115 St & Lexington Ave,40.79791099999011,-73.94229999999565,10507
E 115 St & Madison Ave,40.79894450000129,-73.94484600000591,8116
E 116 St & 2 Ave,40.79687899999494,-73.93726100000197,8214
E 118 St & 1 Ave,40.79746999999394,-73.93504000000894,10651
E 118 St & 3 Ave,40.79913900000593,-73.93891519998948,9815
E 118 St & Madison Ave,40.801486599999656,-73.94425069999416,8732
E 118 St & Park Ave,40.80053850000231,-73.94199490000027,3921
E 12 St & 3 Ave,40.7322327200078,-73.98889956996143,111851
E 12 St & Avenue B,40.72804857138293,-73.97881150245668,70246
E 123 St & Lexington Ave,40.80292629999432,-73.93790000001096,10224
E 128 St & Madison Ave,40.80755999999169,-73.93918200000175,8982
E 13 St & Avenue A,40.72957955405215,-73.98059694772655,97760
E 15 St & 3 Ave,40.73423200005241,-73.98692299989446,104531
E 16 St & 5 Ave,40.73726186003275,-73.9923896698573,114952
E 16 St & Irving Pl,40.73536705555484,-73.98797392845155,73659
E 17 St & Broadway,40.73704984018471,-73.99009295970431,221170
E 19 St & 3 Ave,40.73624526992933,-73.98473764993047,70980
E 2 St & 2 Ave,40.72502875991549,-73.99069655987694,98833
